Keyword,immediate-early,#,    ,early,#,    ,latent,#,    ,late,#,    ,immediate-early (%),early (%),latent (%),late (%)
q77pu6_u90,6.17,10,,2.00,2,,0.00,0,,0.37,1,,72.27,23.44,0.00,4.30
q9wsz6_u94,3.80,6,,3.79,4,,5.22,4,,2.77,5,,24.39,24.34,33.53,17.75
q9qj49_u14,0.25,1,,4.63,3,,0.00,0,,1.55,2,,3.89,72.06,0.00,24.05
p52539_u42,4.17,3,,2.14,2,,1.62,2,,1.75,3,,43.04,22.13,16.75,18.08
q9qj44_u22,1.85,3,,1.20,2,,1.49,3,,4.00,3,,21.67,14.05,17.46,46.82
p0doe1_q9qj11_u100,0.31,2,,0.33,2,,0.00,0,,3.20,2,,8.07,8.48,0.00,83.45
p52538_u41,1.21,4,,3.00,2,,0.00,0,,2.50,2,,18.03,44.71,0.00,37.26
p36320_u39,0.60,3,,0.76,2,,0.00,0,,2.33,2,,16.27,20.56,0.00,63.16
p52446_u69,0.34,1,,0.83,1,,0.00,0,,2.00,1,,10.79,26.24,0.00,62.97
q9wt06_u67,0.20,1,,0.00,0,,0.00,0,,1.83,1,,9.84,0.00,0.00,90.16
q9qj42_u24,0.39,2,,1.03,3,,0.00,0,,1.50,1,,13.25,35.24,0.00,51.51
q9qj12_u95,1.48,4,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
q9qj26_u57,0.00,0,,0.00,0,,0.00,0,,1.25,1,,0.00,0.00,0.00,100.00
q9qj40_u27,0.11,1,,1.11,1,,0.00,0,,0.50,1,,6.45,64.52,0.00,29.03
q9wt45_u19,0.14,1,,1.10,1,,0.00,0,,0.00,0,,11.49,88.51,0.00,0.00
dr6_q9px53,0.00,0,,1.03,1,,0.00,0,,0.89,1,,0.00,53.64,0.00,46.36
p52530_u79,0.94,2,,0.50,1,,0.00,0,,1.00,1,,38.43,20.52,0.00,41.05
q9qj14_u91,0.40,2,,0.67,1,,0.00,0,,0.00,0,,37.50,62.50,0.00,0.00
p52543_u48,0.11,1,,0.29,1,,0.00,0,,0.58,1,,11.27,29.58,0.00,59.15
q9qj32_u38,0.50,1,,0.17,1,,0.00,0,,0.20,1,,57.69,19.23,0.00,23.08
q9qj36_u33,0.10,1,,0.00,0,,0.00,0,,0.46,1,,17.91,0.00,0.00,82.09
q9qj39_u28,0.00,0,,0.43,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
q69535_u11,0.30,2,,0.14,1,,0.00,0,,0.00,0,,67.74,32.26,0.00,0.00
q9qj47_u17,0.25,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
q9qj29_u54,0.25,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
q9qj34_u35,0.00,0,,0.17,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
p52461_u83,0.00,0,,0.00,0,,0.14,1,,0.00,0,,0.00,0.00,100.00,0.00
p52450_u77,0.14,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p52540_u43,0.12,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p52544_u40,0.00,0,,0.11,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
q9qj37_u31,0.10,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
