Keyword,Immediate-early,# papers,Early,# papers,Early-late,# papers,Late,# papers,,Immediate-early (%),Early (%),Early-late (%),Late (%)
q77nn7_p09255_orf70_orf63,10.18,14,1.29,3,0.00,0,1.03,4,,81.41,10.33,0.00,8.26
orf62_p09310_q8azm1_orf71,7.31,9,0.36,2,0.00,0,0.74,3,,86.95,4.30,0.00,8.75
dbp_orf29_q4jqu6_p09246,1.60,2,4.63,2,0.00,0,5.83,5,,13.26,38.40,0.00,48.34
q77np2_orf50_p09298,4.74,6,4.53,3,0.00,0,1.25,2,,45.07,43.02,0.00,11.91
orf57_q77nn9_p09305,1.92,4,3.88,6,0.00,0,2.55,5,,23.01,46.43,0.00,30.56
q4jqx1_p09269_orf4,2.72,5,0.00,0,0.00,0,0.27,1,,91.07,0.00,0.00,8.93
p09307_q9j3n2_orf59,1.33,1,2.44,3,0.00,0,1.43,2,,25.59,46.89,0.00,27.51
q4jqw5_orf10_p09265,2.30,6,0.00,0,0.00,0,0.00,0,,100.00,0.00,0.00,0.00
q77nn6_p09312_orf65,0.53,1,1.33,1,0.00,0,2.20,2,,13.11,32.79,0.00,54.10
p09245_mcp,0.20,2,0.90,3,0.00,0,1.62,5,,7.36,33.14,0.00,59.50
orf1_q4jqx4_p09266,0.77,2,1.27,3,0.00,0,0.00,0,,37.68,62.32,0.00,0.00
p09247_q4jqv7_orf18,1.00,1,0.00,0,0.00,0,1.20,2,,45.41,0.00,0.00,54.59
p09263_q4jqw4_orf11,0.67,2,0.00,0,0.00,0,0.00,0,,100.00,0.00,0.00,0.00
orf2_p09267_q4jqx3,0.61,1,0.29,2,0.00,0,0.00,0,,67.69,32.31,0.00,0.00
orf47_q6yp73_p09296,0.31,2,0.00,0,0.00,0,0.50,1,,38.24,0.00,0.00,61.76
p09308_q9j3n1_orf60,0.00,0,0.00,0,0.00,0,0.50,1,,0.00,0.00,0.00,100.00
p09270_q4jqw9_orf6,0.00,0,0.49,2,0.00,0,0.24,2,,0.00,66.94,0.00,33.06
p09257_orf31_q4jr05,0.00,0,0.12,1,0.00,0,0.39,1,,0.00,24.14,0.00,75.86
p09250_orf36_p0c0e6,0.00,0,0.00,0,0.00,0,0.36,2,,0.00,0.00,0.00,100.00
orf9_q4jqw6_p09272,0.25,2,0.17,1,0.00,0,0.33,1,,33.68,22.11,0.00,44.21
q4jqu7_p09252_orf28,0.33,1,0.00,0,0.00,0,0.00,0,,100.00,0.00,0.00,0.00
p09254_q4jqw7_orf8_dut,0.10,1,0.00,0,0.00,0,0.25,1,,28.57,0.00,0.00,71.43
orf58_q9j3n3_p09306,0.00,0,0.25,1,0.00,0,0.00,0,,0.00,100.00,0.00,0.00
orf3_q4jqx2_p09268,0.21,1,0.20,1,0.00,0,0.00,0,,51.35,48.65,0.00,0.00
orf48_q4jqs7_p09253,0.11,1,0.20,1,0.00,0,0.00,0,,35.71,64.29,0.00,0.00
orf52_q9j3n6_p09300,0.17,1,0.00,0,0.00,0,0.00,0,,100.00,0.00,0.00,0.00
q4jqw3_p09264_orf12,0.17,1,0.00,0,0.00,0,0.00,0,,100.00,0.00,0.00,0.00
q77np3_orf49_p09297,0.14,1,0.12,1,0.00,0,0.00,0,,53.33,46.67,0.00,0.00
orf53_p09301,0.12,1,0.00,0,0.00,0,0.00,0,,100.00,0.00,0.00,0.00
orf37_p09260_q775j3,0.00,0,0.10,1,0.00,0,0.00,0,,0.00,100.00,0.00,0.00
orf22_p09278_q4jqx9,0.00,0,0.00,0,0.00,0,0.10,1,,0.00,0.00,0.00,100.00
